Category,Question,Answer,Category1,Question1,Answer1,Category2,Question2,Answer2
General,Ralph Freeman designed which Australian landmark,Sydney harbour bridge,General,"Which singer/songwriter won a Grammy in 1988 with 'Don't Worry, Be Happy'",Bobby mcferrin,General,What color was Coca Cola originally,Green
Science & Nature,"In Wonderland, Who Took A Watch Out Of His Waistcoat Pocket Only To Discover That He Was Late ",The White Rabbit ,General,Who is the only American president elected unopposed,George Washington,General, Who or what could win a Golden Clio award ,Advertising Film
General,What animals teeth were used as knife blades by the Indians,Beaver,General,Al Alcorn wrote which famous computer program / game,Pong,General,Who was the Celebrity Captain of the Chicago Blackhawks in 1991-92,Jim
 History & Holidays,In The Film 'Halloween' For How Many Years Was The Killer Locked Up In An Asylum Before He Escaped ,15 Years ,General,In what country is the Eucumbene Dam,Australia New S Wales, Geography,What is the basic unit of currency for Haiti ?,Gourde
General,Norman Bean became famous as which author,Edgar Rice Burroughs,General,What is the Roman numeral mcdxlii in decimal,1442,Geography,What is the capital of Afghanistan,Kabul
General,In which tv series does fred savage play kevin arnold,The wonder years,Food & Drink,"Which drink made of hot milk curdled with ale, wine, etc. and often flavoured with spices, was formerly used as a cold remedy? ",Posset ,General,What is a group of grouse,Pack
Science & Nature,The valuable blue form of corundum is called:,Sapphire,General,Any type of machine that obtains mechanical energy directly from the expenditure of the chemical energy of fuel burned in a combustion chamber that is an integral part of the engine,Internal combustion,Food & Drink,Who released the following 'edible' album 'Chocolate starfish and the hot dog flavoured water' ,Limp Bizkit 
Science & Nature," It takes approximately 69,000 venom extractions from the __________",To fill a 1_pint container. coral snake,General,"Who On TV Drove A Car With The Licence Plate ""CNH 320""",The Dukes Of Hazzard,General,A long cylindrical pillow,Bolster
General,What are people encouraged to kiss under,Mistletoe,General,Haifa is a major seaport in which country,Israel,General,What is the British equivalent of the game known in America as 'Tick-Tack-Toe',Noughts and crosses
General,In Islington in London it’s a £50 fine for sleeping where,The Public Library,General,How many elevators stopped at the bridge on Star Trek,One,General,Who was the cisco kid's faithful sidekick,Pancho
General,If a dish is served pomontier what does it contain,Potatoes,General,"In the film 'star wars', what species is chewbacca",Wookie,Science & Nature,Which moon is the largest satellite in our solar system?,Ganymede
Science & Nature,What Describes A Person With No Skin Pigment ,An Albino ,Science & Nature," Fish travel in schools, whales travel in pods or __________",Gams,General,In America what colour is the Green Card,White
Music,"Which Of These People Is The Shortest ""Jarvis Cocker, Micheal Stipe Or Nicky Wire""",Michael Stipe,Sports & Leisure,With which sport is Chris Evert Lloyd identified?,Tennis,General,Who died three days before groucho marx,Elvis presley
General,Creedence clearwater revival sings 'have you ever ______',Seen the rain,General,What is the name given to a pregnant goldfish?,Twit,General,"What ballerina is known by her peers as ""the body""",Cynthia gregory
General,"In the tv series 'leave it to beaver', what was wally's best friend's name",Eddie haskell,Geography,Which 2 Countries Occupy The Iberian Peninsular ,Spain & Portugal ,General,"Which poem begins ""Oh to be in England now that April's here""",Home thoughts from abroad
Sports & Leisure,"In Boxing Who Suffered Defeats To Tim Witherspoon, Mike Tyson & Lennox Lewis ",Frank Bruno ,Religion & Mythology,"His wife was Penelope and his son, Telemachus. He was exiled from his home on Ithaca for angering the gods?",Odysseus,Geography,Which U.S. city is known as Beantown,Boston
 History & Holidays,"In 'Bridget Jones Diary'', Bridget Jones makes a New Years Resolution, to sort out her life, meet a man and keep a diary, but who played Bridget Jones ",Renée Zellweger ,General,Where did the Ghost of Christmas Present take Scrooge first,His clerk's,General,Black and white seabird with small wings,Auk
General,What fashion designers symbol is a swan,Gloria Vanderbilt,Science & Nature,What fish is the fastest?,Sailfish,General,What is the real name of the murderer known either as 'The .44 Calibre Killer' or 'The Son of Sam',David berkowitz
General,In which English town or city would you find The Christmas Steps,Bristol,Music,Which Pioneer Black Singer/Songwriter Dedicated An Oscar To Nelson Mandella,Stevie Wonder,General,What is latke,A potato pancake
Geography,On which river is Rome located,Tiber,General,What is the process of splitting atoms called,Fission,General,Surgical pincers,Forceps
General,96% of American children can recognise - who,Ronald MacDonald,General,What sort of wood was Noah's Ark made from,Gopher wood,General,Which Country Won The Eurovision Song Contest In 2008,Poland
Science & Nature, The female American Oyster lays an average of 500 million eggs per year. Usually only one oyster out of the bunch reaches __________,Maturity,General,What area gets its name from the Greek word for bear,Arctic because great  bear over it,General,The via appia went from brindisi to ______,Rome
General,What are the grinding teeth called,Molars,General,Which UK artist painted The Rakes Progress in the 1700s,William Hogarth,Science & Nature,The Lockheed F-117 Nighthawk Was The First Of Which Type Of Aircraft ,Stealth 
Science & Nature,A one-humped camel is called a _________.,Dromedary,General,Who wrote the novel Invisible Man in 1952,Ralph Waldo Emerson,General,Who composed the music for the musical Showboat,Jerome kern
General,In 2001 one active UK warship named after an Englishman who,Sir Winston Churchill,General,Harmatophobia is the fear of what,Sexual Incompetence,Toys & Games,"This is the length, in feet, of a regulation Snooker table",12
General,What country has the most bookshops per head population,New Zealand,General,What Was The Bon Jovi's First UK Top Ten Hit,You Give Love A Bad Name,General,Damascus is the capital of ______,Syria
Geography,Which U.S. state has the least rainfall,Nevada,General,From what coast do dalmatian originate,Dalmatian coast,General,Who was the Greek equivalent of the Roman god Cupid,Eros
Music,"Who Sang The Smokin Dance Hit ""Feel It"" Including The Featured Artist",Tamperer Feat Maya (Pepper),General,"In transport terms, what is an ACV",Air cushioned vehicle hovercraft, Geography,What is the basic unit of currency for Romania ?,Leu
General, Legal Terms: A supplement to a will.,Codicil,General,One in four Americans has done what,Appeared on TV,General,In which month do russians celebrate the october revolution,May
General,Edward Whymper was the first to do what,Climb Matterhorn,General,Which Greek hero finally tamed Pegasus,Bellerophon,Geography,Which Countries Collectively Are Known As Benelux ,"Belgium, Netherlands, Luuxemborg "
General,"A 1957 title recorded by the Crickets, was a line taken from the classic John Ford Western's 'The Searchers'. What was the title",That'll Be the Day,General,Who founded the Ballets Russe in 1909,Serge diaghilev,General,What name is given to the study of living things in their environment,Ecology
General,Opperman what is the capital of iowa,Des moines,General,This city was the headquarters of the British East India Company until 1708,Bombay,Music,What Was Simply Reds First Ever Top Ten Hit,Holding Back The Years
General,"Saanen, Hongtong & Toggenburg Are All Breeds Of Which Animal",Goats,General,Which ocean can yoU.S.wim in from the Seychelles,Indian,General,Of what continent is cyprus a part,Asia
General,Which 9-fingered pop pianist starred in the film Its all Happening,Russ,Religion & Mythology,"What has no reflection, no shadow, and can't stand the smell of garlic",Vampires,General,Which is the largest of the Society Islands,Tahiti
Sports & Leisure,A Silver Fern Is The Emblem Of Which Nations Rugby Union Team? ,New Zealand ,Geography,Over 75% of the Earth's surface is covered by some form of _____.,Water,General,Which great city replaced its hereditary kings with chief magistrates in 683 bc,Athens
General,What is the Latin word for liquid produced by the Ficus Elastica,Latex,General,Which garment traditionally contains eight sections of material,Kimono,Music,"Who Had ""Self Control"" In 1984",Laura Brannigan
General,What is the fear of parents-in-law known as,Soceraphobia,Geography,Which element makes up 2.6% of the Earth's crust,Magnesium,Science & Nature,Acetic Acid Is More Commonly Known As What? ,Vinegar 
General,Which is the only work by Dukas most people have ever heard of,The sorcerer's apprentice, Geography,"If its 4:00pm in Seattle, Washington what time is it in Portland, Oregon?",4:00pm,Science & Nature,A coral island consisting of a ring of rock enclosing a central lagoon is a(n) ________.,Atoll
Geography,What queen were the virgin islands named for in 1627 ,Elizabeth i ,General,What company introduced the first commercial minicomputer 65,DEC,General,Which of the four Horsemen of Apocalypse is known as Christ,War
General,What did henry shrapnel invent,Exploding shell,General,The French call it Gulf de Gascoine what's its English name,Bay of Biscay,Sports & Leisure,What Is Tthe Mark Behind Which Dart Player Must Stand Called ,The Oche 
General,What's the collective noun for a group of gulls,Colony,General,"Which Award WinningMovie Ended With The Line ""Hey Can I Try On Your Yellow Dress""",Tootise, Geography,Des Moines is the capital of ______?,Iowa
General,The American Society for Prevention of Cruelty to Animals (aspca) was formed in what year,1866,General,Who commanded Bill Jukes Cecco Noodler Skylights Starkey,Captain Hook,General,Where did Clark Kent usually change into his Superman Costume in the Daily Planet building,Store Room
General,In Pac Man eating what was worth 5000 points,Banana,General,What happened to Catherine Eddowes on 30th September 1888,Met Jack the Ripper,General,A large S.American vulture,Condor
